E; project; project1; vpl; 1313.7477; cost; 22896.8754
E; project; project2; vpl; 1409.5494; cost; 29061.9711
E; project; project3; vpl; 1154.6073; cost; 19425.811
E; project; project4; vpl; 1371.7135; cost; 28972.8086
E; project; project5; vpl; 1304.6669; cost; 17857.196
E; project; project6; vpl; 1216.1837; cost; 17544.6146
E; project; project7; vpl; 1342.2707; cost; 17398.7059
E; project; project8; vpl; 1129.6627; cost; 19802.3328
E; project; project9; vpl; 1486.1238; cost; 20360.4109
E; project; project10; vpl; 1352.7749; cost; 21828.2421
E; project; project11; vpl; 1323.4483; cost; 23238.4892
E; project; project12; vpl; 1047.2801; cost; 16408.6654
E; project; project13; vpl; 1195.7732; cost; 27817.6287
E; project; project14; vpl; 1304.2098; cost; 16764.8343
E; project; project15; vpl; 1064.7288; cost; 16081.5888
E; project; project16; vpl; 1160.7036; cost; 19809.156
E; project; project17; vpl; 1236.0652; cost; 27359.5862
E; project; project18; vpl; 1331.1103; cost; 16157.9136
E; project; project19; vpl; 1019.0609; cost; 25888.8094
E; project; project20; vpl; 1049.0033; cost; 24906.24
E; project; project21; vpl; 1147.2676; cost; 21874.6204
E; project; project22; vpl; 1418.6728; cost; 28019.9529
E; project; project23; vpl; 1374.707; cost; 16010.9339
E; project; project24; vpl; 1140.2173; cost; 16882.2207
E; project; project25; vpl; 1386.5479; cost; 28661.801
E; risk; risk1; probability; 90.9218
E; risk; risk2; probability; 72.9686
E; risk; risk3; probability; 3.3476
E; risk; risk4; probability; 69.6496
E; risk; risk5; probability; 31.3361
E; risk; risk6; probability; 45.8242
E; risk; risk7; probability; 34.3154
E; risk; risk8; probability; 91.5377
E; risk; risk9; probability; 40.6132
E; risk; risk10; probability; 36.0798
R; affects; risk9; project11; impact; 1563.3635
R; affects; risk9; project17; impact; -4619.7915
R; affects; risk9; project12; impact; 2509.0246
R; affects; risk9; project6; impact; -4720.0842
R; affects; risk9; project2; impact; 2212.0094
R; affects; risk9; project25; impact; -6342.4104
R; affects; risk9; project15; impact; 889.5191
R; affects; risk9; project7; impact; 719.1457
R; affects; risk9; project8; impact; -1623.5354
R; affects; risk9; project1; impact; -6357.0661
R; affects; risk9; project18; impact; -5633.7941
R; affects; risk9; project24; impact; -4677.7759
R; affects; risk9; project3; impact; -4771.0731
R; affects; risk9; project23; impact; -1634.6837
R; affects; risk9; project22; impact; -3703.8064
R; affects; risk10; project23; impact; -5375.3511
R; affects; risk10; project6; impact; 134.2954
R; affects; risk10; project16; impact; -3304.0678
R; affects; risk10; project9; impact; -5955.0878
R; affects; risk10; project4; impact; -6211.6429
R; affects; risk10; project21; impact; 3880.0285
R; affects; risk10; project5; impact; -1271.1705
R; affects; risk10; project7; impact; 148.839
R; affects; risk10; project18; impact; 4872.8915
R; affects; risk10; project20; impact; -4153.0539
R; affects; risk10; project2; impact; -5817.2514
R; affects; risk10; project1; impact; 3331.1871
R; affects; risk10; project8; impact; 263.3029
R; affects; risk10; project22; impact; -314.9897
R; affects; risk10; project19; impact; -6630.6972
R; affects; risk10; project11; impact; -4983.0801
R; affects; risk10; project12; impact; 1594.0687
R; affects; risk10; project10; impact; 1664.9522
R; affects; risk10; project14; impact; -1309.4915
R; affects; risk10; project3; impact; -1440.3442
R; affects; risk10; project13; impact; -2739.5523
R; affects; risk10; project25; impact; -4047.8012
R; affects; risk10; project24; impact; -4934.8099
R; affects; risk10; project15; impact; 4527.9888
R; affects; risk10; project17; impact; -1320.4049
