E; project; project1; vpl; 1288.9916; cost; 21739.7904
E; project; project2; vpl; 1070.1257; cost; 18560.0239
E; project; project3; vpl; 1496.2191; cost; 19930.8529
E; project; project4; vpl; 1280.5266; cost; 26560.4742
E; project; project5; vpl; 1324.6407; cost; 24651.3476
E; project; project6; vpl; 1317.5097; cost; 29004.6313
E; project; project7; vpl; 1137.3188; cost; 18504.9372
E; project; project8; vpl; 1383.7821; cost; 24940.1141
E; project; project9; vpl; 1198.318; cost; 22586.9845
E; project; project10; vpl; 1089.1559; cost; 27163.7359
E; project; project11; vpl; 1405.6747; cost; 28475.0862
E; project; project12; vpl; 1285.609; cost; 18837.7035
E; project; project13; vpl; 1255.8936; cost; 29200.551
E; project; project14; vpl; 1217.9831; cost; 16356.2234
E; project; project15; vpl; 1152.4464; cost; 25832.6728
E; project; project16; vpl; 1490.1065; cost; 29842.7748
E; project; project17; vpl; 1241.8285; cost; 20571.8516
E; project; project18; vpl; 1267.2566; cost; 16756.9541
E; project; project19; vpl; 1270.1151; cost; 25134.5587
E; project; project20; vpl; 1157.8715; cost; 27795.0713
E; project; project21; vpl; 1055.8374; cost; 22764.8171
E; project; project22; vpl; 1383.7212; cost; 29489.7547
E; project; project23; vpl; 1384.3495; cost; 26387.1521
E; project; project24; vpl; 1272.1503; cost; 28356.7683
E; project; project25; vpl; 1140.4894; cost; 25860.5869
E; project; project26; vpl; 1095.562; cost; 21354.9792
E; project; project27; vpl; 1013.8517; cost; 23059.837
E; project; project28; vpl; 1471.4448; cost; 20367.7475
E; project; project29; vpl; 1470.8289; cost; 19827.8988
E; project; project30; vpl; 1495.639; cost; 20977.6197
E; project; project31; vpl; 1483.9643; cost; 20865.0774
E; project; project32; vpl; 1157.2311; cost; 26384.652
E; project; project33; vpl; 1219.1522; cost; 20166.4201
E; project; project34; vpl; 1215.7718; cost; 19852.3811
E; project; project35; vpl; 1489.6852; cost; 21937.6107
E; project; project36; vpl; 1271.0942; cost; 21791.7522
E; project; project37; vpl; 1410.7516; cost; 17425.6584
E; project; project38; vpl; 1328.8091; cost; 26796.2992
E; project; project39; vpl; 1204.2222; cost; 15134.0108
E; project; project40; vpl; 1436.8482; cost; 24702.7082
E; project; project41; vpl; 1269.7394; cost; 29462.8147
E; project; project42; vpl; 1311.7985; cost; 21697.4341
E; project; project43; vpl; 1220.3345; cost; 15356.5257
E; project; project44; vpl; 1480.1107; cost; 20547.1159
E; project; project45; vpl; 1477.9878; cost; 18657.4542
E; project; project46; vpl; 1465.7801; cost; 19169.8296
E; project; project47; vpl; 1393.447; cost; 23081.4528
E; project; project48; vpl; 1170.3165; cost; 21754.2908
E; project; project49; vpl; 1234.7748; cost; 23249.0948
E; project; project50; vpl; 1215.5579; cost; 19790.3661
E; risk; risk1; probability; 89.5946
E; risk; risk2; probability; 6.4177
E; risk; risk3; probability; 86.1362
E; risk; risk4; probability; 34.5998
E; risk; risk5; probability; 94.4744
E; risk; risk6; probability; 67.9444
E; risk; risk7; probability; 61.8177
R; affects; risk2; project35; impact; -3024.2012
R; affects; risk2; project34; impact; -2234.5295
R; affects; risk2; project28; impact; 121.2545
R; affects; risk2; project32; impact; -2074.9597
R; affects; risk2; project40; impact; -3996.372
R; affects; risk2; project26; impact; -3167.7978
R; affects; risk2; project3; impact; -3789.4101
R; affects; risk2; project1; impact; 1696.5321
R; affects; risk2; project33; impact; -2288.3199
R; affects; risk2; project7; impact; -6517.511
R; affects; risk2; project6; impact; -2424.9226
R; affects; risk2; project12; impact; -1893.5573
R; affects; risk3; project49; impact; -2855.1711
R; affects; risk3; project50; impact; 839.4429
R; affects; risk3; project21; impact; -3516.8586
R; affects; risk3; project34; impact; -1749.1779
R; affects; risk3; project11; impact; -2399.9903
R; affects; risk3; project23; impact; 174.4226
R; affects; risk3; project27; impact; -4964.7181
R; affects; risk3; project35; impact; -1521.3035
R; affects; risk3; project38; impact; -5225.2685
R; affects; risk3; project24; impact; 1524.5543
R; affects; risk3; project37; impact; -6702.7368
R; affects; risk3; project6; impact; -2496.3693
R; affects; risk3; project16; impact; 323.771
R; affects; risk3; project4; impact; -1729.2666
R; affects; risk3; project2; impact; -3507.3698
R; affects; risk3; project42; impact; 3471.1432
R; affects; risk3; project20; impact; 1020.2936
R; affects; risk3; project19; impact; 1801.1483
R; affects; risk3; project31; impact; -223.7029
R; affects; risk3; project43; impact; 2587.186
R; affects; risk3; project26; impact; 552.9961
R; affects; risk3; project44; impact; 4988.4209
R; affects; risk3; project46; impact; -810.3304
R; affects; risk3; project40; impact; -1072.3719
R; affects; risk3; project48; impact; -3959.8596
R; affects; risk3; project17; impact; -5150.3217
R; affects; risk3; project1; impact; -2645.2139
R; affects; risk3; project45; impact; -2932.0865
R; affects; risk3; project22; impact; -6367.7781
R; affects; risk3; project12; impact; -2951.4408
R; affects; risk3; project39; impact; -595.3906
R; affects; risk3; project32; impact; -5112.4176
R; affects; risk3; project7; impact; -2727.9062
R; affects; risk3; project9; impact; -4568.6332
R; affects; risk3; project14; impact; -3300.4324
R; affects; risk3; project28; impact; -5371.582
R; affects; risk3; project30; impact; -3253.3812
R; affects; risk3; project8; impact; -4118.1663
R; affects; risk3; project29; impact; -6701.8745
R; affects; risk3; project18; impact; 4918.3007
R; affects; risk3; project36; impact; -938.0182
R; affects; risk3; project13; impact; -3575.3554
R; affects; risk3; project47; impact; -6658.3277
R; affects; risk3; project15; impact; -2539.1501
R; affects; risk3; project10; impact; -6701.3789
R; affects; risk3; project41; impact; -6169.3983
R; affects; risk3; project3; impact; -3530.8163
R; affects; risk3; project25; impact; -5411.8297
R; affects; risk3; project5; impact; -3954.8815
R; affects; risk3; project33; impact; -4885.5526
R; affects; risk4; project16; impact; -4705.0983
R; affects; risk4; project49; impact; -4280.661
R; affects; risk4; project42; impact; -710.1024
R; affects; risk4; project12; impact; -6639.5977
R; affects; risk4; project11; impact; -2615.9808
R; affects; risk4; project4; impact; -4329.2982
R; affects; risk4; project14; impact; -3481.0631
R; affects; risk4; project3; impact; -1333.9635
R; affects; risk4; project26; impact; -3961.4209
R; affects; risk4; project6; impact; -1335.2313
R; affects; risk4; project43; impact; -6413.2657
R; affects; risk4; project17; impact; 110.9965
R; affects; risk4; project41; impact; -6551.9082
R; affects; risk4; project8; impact; -4380.8019
R; affects; risk4; project37; impact; -3133.0902
R; affects; risk4; project10; impact; -1356.3656
R; affects; risk4; project1; impact; -2570.4236
R; affects; risk4; project36; impact; 1710.3537
R; affects; risk4; project28; impact; -756.8024
R; affects; risk4; project27; impact; -2935.7167
R; affects; risk4; project15; impact; -3054.08
R; affects; risk4; project29; impact; -6398.087
R; affects; risk4; project38; impact; -3036.7511
R; affects; risk4; project24; impact; -4172.928
R; affects; risk4; project31; impact; -3575.4722
R; affects; risk4; project25; impact; 109.6983
R; affects; risk4; project13; impact; -3432.683
R; affects; risk4; project47; impact; -45.3821
R; affects; risk4; project22; impact; -6586.4553
R; affects; risk4; project30; impact; -3737.5366
R; affects; risk4; project19; impact; -747.1976
R; affects; risk4; project32; impact; -696.567
R; affects; risk4; project2; impact; -709.0796
R; affects; risk4; project18; impact; -2669.4202
R; affects; risk4; project50; impact; -3099.1033
R; affects; risk4; project48; impact; -973.7811
R; affects; risk4; project7; impact; -2721.0556
R; affects; risk4; project40; impact; -1520.8552
R; affects; risk4; project46; impact; -477.5779
R; affects; risk4; project34; impact; 32.8582
R; affects; risk4; project20; impact; -4950.9502
R; affects; risk4; project9; impact; -2647.2289
R; affects; risk4; project5; impact; -756.9244
R; affects; risk4; project33; impact; -1426.8892
R; affects; risk4; project21; impact; 4682.474
R; affects; risk4; project45; impact; -1178.4283
R; affects; risk4; project35; impact; -3402.0403
R; affects; risk4; project23; impact; -2030.5937
R; affects; risk4; project39; impact; -2416.4368
R; affects; risk4; project44; impact; -5666.4945
R; affects; risk5; project42; impact; -4798.2998
R; affects; risk5; project15; impact; -2485.0323
R; affects; risk5; project29; impact; -3534.6519
R; affects; risk5; project31; impact; -5555.8742
R; affects; risk5; project38; impact; 815.2116
R; affects; risk5; project18; impact; -713.5984
R; affects; risk5; project10; impact; -3399.2451
R; affects; risk5; project22; impact; 73.5095
R; affects; risk5; project16; impact; -1769.4768
R; affects; risk5; project50; impact; -5524.0152
R; affects; risk5; project39; impact; -1721.8787
R; affects; risk5; project41; impact; -3394.3714
R; affects; risk5; project49; impact; -3498.7056
R; affects; risk5; project33; impact; -3502.22
R; affects; risk5; project45; impact; -6679.3667
R; affects; risk5; project37; impact; 268.9157
R; affects; risk5; project7; impact; -3046.2777
R; affects; risk5; project13; impact; -3654.4063
R; affects; risk5; project47; impact; -1468.6338
R; affects; risk5; project48; impact; -4467.0681
R; affects; risk5; project12; impact; -1076.8233
R; affects; risk5; project26; impact; -2050.3294
R; affects; risk5; project32; impact; -6071.2453
R; affects; risk5; project14; impact; -2213.8926
R; affects; risk5; project1; impact; -2061.0002
R; affects; risk5; project3; impact; -2555.2981
R; affects; risk5; project30; impact; -2181.0266
R; affects; risk5; project2; impact; -2265.1009
R; affects; risk5; project8; impact; -3267.5912
R; affects; risk5; project34; impact; -2041.9134
R; affects; risk5; project23; impact; -4371.045
R; affects; risk5; project25; impact; -2631.1597
R; affects; risk5; project20; impact; -1612.1085
R; affects; risk5; project21; impact; -6194.0329
R; affects; risk5; project46; impact; -4584.6039
R; affects; risk5; project19; impact; -5748.8833
R; affects; risk5; project44; impact; -5106.852
R; affects; risk5; project28; impact; 199.3679
R; affects; risk5; project9; impact; -1260.9217
R; affects; risk5; project40; impact; -4441.0064
R; affects; risk5; project36; impact; 259.0467
R; affects; risk5; project11; impact; -4203.9395
R; affects; risk5; project35; impact; 935.0393
R; affects; risk5; project24; impact; -2278.6605
R; affects; risk5; project5; impact; -2173.8559
R; affects; risk5; project6; impact; 1553.7795
R; affects; risk5; project43; impact; 319.0899
R; affects; risk5; project4; impact; -4481.7239
R; affects; risk5; project17; impact; -464.9237
R; affects; risk5; project27; impact; -1450.1623
R; affects; risk6; project35; impact; 3349.8886
R; affects; risk6; project49; impact; -4155.7218
R; affects; risk6; project5; impact; -2271.2749
R; affects; risk6; project31; impact; -3893.4526
R; affects; risk6; project40; impact; -2986.7647
R; affects; risk6; project30; impact; -4556.751
R; affects; risk6; project33; impact; -3967.1804
R; affects; risk6; project45; impact; -4432.4989
R; affects; risk6; project32; impact; -2288.5272
R; affects; risk6; project10; impact; 2183.5692
R; affects; risk6; project8; impact; -3619.0429
R; affects; risk6; project4; impact; -3402.4853
R; affects; risk7; project13; impact; -474.171
R; affects; risk7; project20; impact; -3227.9985
R; affects; risk7; project1; impact; -5579.856
R; affects; risk7; project39; impact; -3563.6942
R; affects; risk7; project12; impact; -4126.7458
R; affects; risk7; project21; impact; -4360.0155
R; affects; risk7; project14; impact; -4003.9523
R; affects; risk7; project24; impact; -5857.8533
R; affects; risk7; project19; impact; -1698.2313
R; affects; risk7; project11; impact; 4552.82
R; affects; risk7; project50; impact; -1251.0201
R; affects; risk7; project8; impact; -1770.2539
R; affects; risk7; project5; impact; -2340.4617
R; affects; risk7; project29; impact; -1187.9174
R; affects; risk7; project37; impact; -2547.7725
R; affects; risk7; project38; impact; -1601.891
R; affects; risk7; project30; impact; -67.1326
R; affects; risk7; project16; impact; -4682.5134
R; affects; risk7; project22; impact; -3793.6682
R; affects; risk7; project27; impact; -2737.465
R; affects; risk7; project32; impact; -3722.9992
R; affects; risk7; project17; impact; -2069.08
R; affects; risk7; project23; impact; -2160.2879
R; affects; risk7; project36; impact; -5568.7684
R; affects; risk7; project26; impact; -2838.9054
R; affects; risk7; project6; impact; -3324.0476
R; affects; risk7; project25; impact; -3427.4304
R; affects; risk7; project42; impact; -2831.6706
R; affects; risk7; project4; impact; 314.9196
R; affects; risk7; project33; impact; -4625.4533
R; affects; risk7; project28; impact; -5993.671
R; affects; risk7; project40; impact; 2378.7859
R; affects; risk7; project34; impact; -2100.1733
R; affects; risk7; project10; impact; -4816.1051
R; affects; risk7; project41; impact; 595.5546
R; affects; risk7; project35; impact; -1028.3106
R; affects; risk7; project44; impact; -1369.7864
R; affects; risk7; project48; impact; -3691.9136
R; affects; risk7; project7; impact; 1735.4107
R; affects; risk7; project9; impact; -5230.2146
R; affects; risk7; project31; impact; -6155.8068
R; affects; risk7; project45; impact; -3561.9957
R; affects; risk7; project3; impact; -5406.1071
R; affects; risk7; project46; impact; 4924.1573
R; affects; risk7; project49; impact; -2036.6271
R; affects; risk7; project15; impact; -3475.1543
R; affects; risk7; project2; impact; -3060.4559
R; affects; risk7; project47; impact; -4352.7171
R; affects; risk7; project18; impact; -8.3823
R; affects; risk7; project43; impact; -4397.1793
